DOT,Legal_Name,Business_State,business_county,County ,ISS,Years_In_Business,Number Of Trucks ,Yearly Premium
3490777,DJS EXPRESS TRANSPORT LLC,FL,SEMINOLE,Normal,100,1,8,122500
3583145,HERSEY ENTERPRISES LLC,FL,SAINT JOHNS,Normal,100,1,8,122500
3259601,TRANSPORT LOGISTICS EXPRESS CORP,FL,COLUMBIA,Normal,100,3,5,87500
872185,CT&T TRANSPORT INC,FL,SEMINOLE,Normal,100,22,4,68500
3238348,PINE LOGICS LLC,FL,MIAMI-DADE,High Risk,100,3,2,39000
3421174,CAMARIOCA TRUCKING LLC,FL,BROWARD,Normal,100,2,2,36500
3567913,SMART VAN LINES GROUP INC,FL,BROWARD,Normal,100,1,2,36500
3567913,SMART VAN LINES GROUP INC,FL,BROWARD,Normal,100,1,2,36500
3156010,TREPAD TRUCKING LLC,FL,CHARLOTTE,Normal,100,3,1,19500
535932,OLYMPIC TRANSFER CORP,FL,MIAMI-DADE,High Risk,99,28,55,828000
2144048,FOUR H TRUCKING LLC,FL,MIAMI-DADE,High Risk,99,11,22,333000
3155914,EV CARRIER LLC,FL,VOLUSIA,Normal,99,3,6,92500
3164517,NATIONAL INFINITY TRUCKING LLC,FL,DUVAL,Normal,99,3,1,19500
3648274,ACADEMIA TRUCKING CORP,FL,MIAMI-DADE,High Risk,99,1,1,22000
3681820,AIN TRANSPORT INC,FL,HILLSBOROUGH,Normal,99,0,1,19500
3717022,KESSELL EXPRESS MECHANIC SERVICE INC,FL,MIAMI-DADE,High Risk,99,0,1,22000
3032703,RED HORSE TRANSPORTATION LLC,FL,SUWANNEE,Normal,98,4,9,137500
1706233,E & A HEAVY HAULING INC,FL,DUVAL,Normal,98,14,22,330500
3435118,B & Y TRANSPORT CORP,FL,MIAMI-DADE,High Risk,98,2,9,140000
2517543,J R M TRUCK SERVICE LLC,NJ,CAMDEN,Normal,98,8,7,105500
3596767,AMBOR TRUCKING LLC,FL,COLLIER,Normal,98,1,5,87500
3289486,BLUE ROAD TRANSPORT CORP,FL,LEE,Normal,98,3,4,70500
3426063,T YOUNG EXPRESS LLC,FL,ALACHUA,Normal,98,2,4,70500
3463882,LUGOS EXPRESS SERVICES LLC,FL,MONROE,Normal,98,1,4,70500
2918733,BUNITA TRUCKING COMPANY INC,FL,ORANGE,Normal,98,5,3,53500
3387582,MELAS LOGISTICS LLC,FL,MIAMI-DADE,High Risk,98,2,3,56000
2475812,RD TRUCK CORP,FL,BROWARD,Normal,98,8,2,34500
2323902,C C C TRANSPORT INC,FL,HILLSBOROUGH,Normal,98,9,1,17500
2541674,MIRACLE PATH LLC,FL,MIAMI-DADE,High Risk,98,7,1,20000
3123183,D & S LOGISTICS GROUP LLC,FL,MIAMI-DADE,High Risk,98,4,1,22000
3313633,TEAM DFS TRANSPORTATION INC,FL,MIAMI-DADE,High Risk,98,2,1,22000
3380402,JAM TRANSFER LLC,FL,MIAMI-DADE,High Risk,98,2,1,22000
3423467,CENTRAL TRUCK CORP,FL,PALM BEACH,Normal,98,2,1,19500
3593008,RISCO TRUCK SERVICES INC,FL,BROWARD,Normal,98,1,1,19500
3639567,TRUST TIMING LOGISTICS LLC,FL,MONROE,Normal,98,1,1,19500
3644121,LOAD FOR TRUCKING INC,FL,LEE,Normal,98,1,1,19500
3741942,DGL TRUCKING LLC,FL,MIAMI-DADE,High Risk,98,0,1,22000
1938017,CUSTOMIZED TRUCKING SERVICES INC,FL,DUVAL,Normal,97,12,350,5250500
1938017,CUSTOMIZED TRUCKING SERVICES INC,FL,DUVAL,Normal,97,12,350,5250500
708936,BLUE LINE TRANSPORT INC,FL,FRANKLIN,Normal,97,24,60,900500
3504051,FIGUEROA ROMAN ENTERPRISE LLC,FL,MIAMI-DADE,High Risk,97,1,2,39000
1537209,NEW LINE TRANSPORT LLC,FL,MIAMI-DADE,High Risk,97,15,1136,17043000
1537209,NEW LINE TRANSPORT LLC,FL,MIAMI-DADE,High Risk,97,15,1136,17043000
1843015,FIRST COAST EXPRESS INC,FL,DUVAL,Normal,97,13,28,420500
867707,ALLIANCE MOVERS GROUP LLC,FL,BROWARD,Normal,97,22,7,105500
867707,ALLIANCE MOVERS GROUP LLC,FL,BROWARD,Normal,97,22,7,105500
2263853,J PLUS TRUCKING CORPORATION,NJ,HUDSON,Normal,97,10,6,90500
2415345,G&A EXPRESS TRANSPORT LLC,FL,MIAMI-DADE,High Risk,97,9,6,93000
3300794,MG 24 7 TRANSPORT CORP,WY,SWEETWATER,Normal,97,3,6,92500
803930,JOHN ELTON BARFIELD,FL,JACKSON,Normal,97,23,5,85500
3410016,LOUIS & FAMILY ENTERPRISES LLC,FL,BROWARD,Normal,97,2,3,53500
3416175,MT YACHT SERVICES INC,FL,PALM BEACH,Normal,97,2,3,53500
3472469,SC EXPRESS CORP,FL,MIAMI-DADE,High Risk,97,1,3,56000
1876867,MEGA LINE TRANSPORT INC,FL,BROWARD,Normal,97,13,2,34500
1876867,MEGA LINE TRANSPORT INC,FL,BROWARD,Normal,97,13,2,34500
2787914,786 TRANSPORT LLC,FL,HERNANDO,Normal,97,6,2,34500
3415445,J&B DIVINE EXPRESS INC,FL,BROWARD,Normal,97,2,2,36500
3474162,AAMM LOGISTICS LLC,FL,HERNANDO,Normal,97,1,2,36500
1740416,PLATINUM PLUS TRANSPORTATION INC,FL,PALM BEACH,Normal,97,14,1,17500
2591410,TRANSPORTATION FREIGHT INC,FL,HILLSBOROUGH,Normal,97,7,1,17500
3023356,HARRY'S TRUCK SERVICES LLC,FL,POLK,Normal,97,4,1,19500
1537209,NEW LINE TRANSPORT LLC,FL,MIAMI-DADE,High Risk,97,15,1136,17043000
1537209,NEW LINE TRANSPORT LLC,FL,MIAMI-DADE,High Risk,97,15,1136,17043000
1575970,FREEDOM 1 LLC,FL,SAINT JOHNS,Normal,96,15,194,2910500
1566060,CITRUS TRANSPORT LLC,FL,DUVAL,Normal,96,15,48,720500
2562486,SFAKIA LLC,FL,PALM BEACH,Normal,96,7,43,645500
2562486,SFAKIA LLC,FL,PALM BEACH,Normal,96,7,43,645500
3001551,J&V LOGISTICS INC,FL,MIAMI-DADE,High Risk,96,5,8,125000
1772587,A R A LOGISTICS INC,FL,MIAMI-DADE,High Risk,96,14,7,108000
2589394,LINE TRUCKING CORP,FL,MIAMI-DADE,High Risk,96,7,7,108000
2936597,DEA TRANSPORT AND MANAGEMENT CORP,FL,BROWARD,Normal,96,5,6,92500
2891327,J & M HAULING CORP,FL,DUVAL,Normal,96,6,5,85500
3089889,C DIAZ INVESTMENTS 3 LLC,FL,MIAMI-DADE,High Risk,96,4,5,90000
3428325,FALCON LOGISTICS GROUP LLC,FL,BROWARD,Normal,96,2,5,87500
3309151,DCN TRANSPORTATION LLC,FL,POLK,Normal,96,2,4,70500
1902673,ALPINE VAN LINES INC,FL,MIAMI-DADE,High Risk,96,13,2,37000
1902673,ALPINE VAN LINES INC,FL,MIAMI-DADE,High Risk,96,13,2,37000
1330938,SOUTHEAST HIGHWAY GUARDRAIL & ATTENUATORS LLC,FL,PALM BEACH,Normal,96,17,39,585500
1676739,GOLD EAGLE TRANSPORTATION INC,FL,MIAMI-DADE,High Risk,95,14,13,198000
1262324,O & M TRUCKING CO LLC,FL,SAINT JOHNS,Normal,95,17,167,2505500
1845140,SCS LOGISTICS LLC,FL,MIAMI-DADE,High Risk,95,13,69,1038000
3237774,UYGHUR TRANS LLC,OH,FRANKLIN,Normal,95,3,21,317500
2291022,ELP TRUCKING INC,FL,HILLSBOROUGH,Normal,95,10,16,240500
1697386,AA EXPRESS OF MIAMI INC,FL,MIAMI-DADE,High Risk,95,14,10,153000
3235832,UNITED PROPER LOGISTICS INC,IL,COOK,Normal,95,3,10,152500
3671985,NUKETOWN LOGISTICS LLC,TX,,Normal,95,0,8,122500
3383697,RED LINE XPRESS LLC,FL,MIAMI-DADE,High Risk,95,2,6,95000
1733418,J & J TRUCK SERVICES INC,FL,SAINT LUCIE,Normal,95,14,3,51500
3324901,BSJ LOGISTICS LLC,FL,HILLSBOROUGH,Normal,95,2,3,53500
3450167,BELGIAN CARRIERS LLC,FL,MIAMI-DADE,High Risk,95,1,2,39000
3477858,DSR TRANSPORT LLC,FL,HILLSBOROUGH,Normal,95,1,2,36500
2334209,J R M REFRIGERATED INC,FL,POLK,Normal,95,9,1,17500
2426281,MIG EXPRESS LLC,MO,TANEY,Normal,95,8,1,17500
774244,MASTEC NORTH AMERICA INC,FL,MIAMI-DADE,High Risk,95,23,2132,31983000
774244,MASTEC NORTH AMERICA INC,FL,MIAMI-DADE,High Risk,95,23,2132,31983000
1348167,US 1 LOGISTICS LLC,FL,SAINT JOHNS,Normal,94,17,384,5760500
515866,PALMETTO TRANSPORT INC,FL,MIAMI-DADE,High Risk,94,29,90,1353000
3163104,ZARIZ TRANSPORT INC,NJ,ESSEX,Normal,94,3,75,1127500
290879,CENTRANS TRUCK LINES LLC,FL,SAINT JOHNS,Normal,94,35,46,690500
316378,BONUS TRANSPORTATION INC,FL,LAKE,Normal,94,34,89,1335500
3115493,COAST 2 COAST LOGISTICS INC,TX,ECTOR,Normal,94,4,66,992500
3115493,COAST 2 COAST LOGISTICS INC,TX,ECTOR,Normal,94,4,66,992500
2889386,ALL AMERICA TRANSPORTATION LLC,FL,MIAMI-DADE,High Risk,94,6,50,753000
1017757,B & B TRUCKING SERVICES INC,FL,MARION,Normal,94,20,38,570500
2158062,TRANS AMERICAN EXPRESS INC,FL,BROWARD,Normal,94,11,33,495500
2934523,SNS FREIGHT LLC,FL,HILLSBOROUGH,Normal,94,5,30,452500
3165583,E-ROD TRANSPORT CORP,FL,BROWARD,Normal,94,3,15,227500
3491781,EASY ROAD MOVING & STORAGE INC,FL,MIAMI-DADE,High Risk,94,1,14,215000
3491781,EASY ROAD MOVING & STORAGE INC,FL,MIAMI-DADE,High Risk,94,1,14,215000
3148887,ATLANTIC STARS 1 LLC,FL,DUVAL,Normal,94,4,7,107500
3671451,JBMT LOGISTICS LLC,FL,ORANGE,Normal,94,0,4,70500
3029544,AST EXPRESS LLC,FL,BROWARD,Normal,94,4,3,53500
3282931,TSM LOGISTICS LLC,FL,MIAMI-DADE,High Risk,94,3,3,56000
3672050,RIA LOGISTICS LLC,FL,MIAMI-DADE,High Risk,94,0,1,22000
3676896,BROWNS ON THE GO TRUCKING LLC,FL,ORANGE,Normal,94,0,1,19500
1348167,US 1 LOGISTICS LLC,FL,SAINT JOHNS,Normal,94,17,384,5760500
1840776,GENERAL TRANSYSTEMS INC,FL,PASCO,Normal,93,13,24,360500
3044500,ELANDIEU LUBIN INC,FL,MIAMI-DADE,High Risk,93,4,10,155000
3102526,FASTWAY TRANSPORT LLC,FL,BROWARD,Normal,93,4,6,92500
2912444,AVZ TRANSPORT LLC,NJ,UNION,Normal,93,5,2,36500
3431938,MARCELO TRUCK SERVICES CORP,FL,MIAMI-DADE,High Risk,93,2,1,22000
3173758,TRANSMEDITERRANEAN CARGO LLC,FL,MIAMI-DADE,High Risk,92,3,8,125000
3195818,BRITT MANAGEMENT GROUP LLC,FL,DUVAL,Normal,92,3,5,87500
3536178,INDEPENDENCE TRUCKING LLC,PA,WAYNE,Normal,92,1,5,87500
1778608,TWO SISTERS TRUCKING INC,FL,COLLIER,Normal,92,14,4,68500
2541074,RITA TRANSPORTATION LLC,OH,FRANKLIN,Normal,92,7,4,68500
1092968,TEJEDAS TRANSPORT INC,FL,MIAMI-DADE,High Risk,92,19,2,37000
3442739,MIRROR ENTERTAINMENT LLC,FL,GADSDEN,Normal,92,2,2,36500
3481687,MOOV TRANSPORT CORP,FL,ORANGE,Normal,92,1,2,36500
1244167,J L POSSO TRUCKING INC,FL,BROWARD,Normal,92,18,1,17500
1911689,A LINE AUTO TRANSPORT LLC,FL,BREVARD,Normal,92,12,1,17500
3397686,MILIAN CARGO LLC,FL,MIAMI-DADE,High Risk,92,2,1,22000
3453449,DELH EXPRESS INC,FL,MIAMI-DADE,High Risk,92,1,1,22000
3665940,INGAME TRANSPORT INC,FL,MIAMI-DADE,High Risk,92,0,1,22000
241572,LANDSTAR RANGER INC,FL,DUVAL,Normal,91,38,6855,102825500
241572,LANDSTAR RANGER INC,FL,DUVAL,Normal,91,38,6855,102825500
241572,LANDSTAR RANGER INC,FL,DUVAL,Normal,91,38,6855,102825500
241572,LANDSTAR RANGER INC,FL,DUVAL,Normal,91,38,6855,102825500
241572,LANDSTAR RANGER INC,FL,DUVAL,Normal,91,38,6855,102825500
216939,LANDSTAR INWAY INC,FL,DUVAL,Normal,91,39,4778,71670500
216939,LANDSTAR INWAY INC,FL,DUVAL,Normal,91,39,4778,71670500
216939,LANDSTAR INWAY INC,FL,DUVAL,Normal,91,39,4778,71670500
920098,FEC HIGHWAY SERVICES LLC,FL,DUVAL,Normal,91,21,296,4440500
920098,FEC HIGHWAY SERVICES LLC,FL,DUVAL,Normal,91,21,296,4440500
3149658,ROYAL BENGAL LOGISTICS INC,FL,BROWARD,Normal,91,4,82,1232500
3506177,ESSE TRANSPORT INC,FL,BROWARD,Normal,91,1,13,197500
1144924,AGS TRANSPORT INC,FL,MIAMI-DADE,High Risk,91,18,8,123000
3428243,USP HOME LLC,FL,ORANGE,Normal,91,2,151,2267500
449043,FLORIDA MECHANICAL SYSTEMS INC,FL,DUVAL,Normal,91,31,19,285500
3309322,NEVAEH TRANSPORT INC,FL,MIAMI-DADE,High Risk,91,2,8,125000
2279587,KEVIN PARKER SERVICES LLC,FL,ESCAMBIA,Normal,91,10,5,85500
3333981,YA TRUCKING LLC,NE,HALL,Normal,91,2,2,36500
3390117,NEW HORIZON BUSINESS LLC,FL,ORANGE,Normal,91,2,2,36500
3474352,MDO EXPRESS LLC,FL,ORANGE,Normal,91,1,2,36500
3449472,TATA EXPRESS INC,FL,BROWARD,Normal,91,1,1,19500
3683227,RM EXPRESS SERVICE LLC,FL,MIAMI-DADE,High Risk,91,0,1,22000
1397252,PODS ENTERPRISES LLC,FL,PINELLAS,Normal,90,16,1044,15660500
1397252,PODS ENTERPRISES LLC,FL,PINELLAS,Normal,90,16,1044,15660500
1397252,PODS ENTERPRISES LLC,FL,PINELLAS,Normal,90,16,1044,15660500
1878196,AVILES-ROBBINS TRUCK LEASING LLC,FL,DUVAL,Normal,90,13,20,300500
3170571,EDPASS NY INC,NY,MONROE,Normal,90,3,20,302500
1742286,PEGASUS EXPRESS INC,FL,CLAY,Normal,90,14,19,285500
1405932,DJA FLATBED SERVICES INC,FL,MIAMI-DADE,High Risk,90,16,17,258000
2501416,ALL STAR FREIGHT SERVICES LLC,FL,SEMINOLE,Normal,90,8,13,195500
3261934,GPA TRUCKING EXPRESS INC,FL,MIAMI-DADE,High Risk,90,3,10,155000
2453181,FLORENTINO LLC,FL,ORANGE,Normal,90,8,9,135500
2872833,MILCAR TRANSPORT LLC,FL,BROWARD,Normal,90,6,8,120500
2872833,MILCAR TRANSPORT LLC,FL,BROWARD,Normal,90,6,8,120500
3195570,Y & A SUNSHINE INC,FL,MIAMI-DADE,High Risk,90,3,8,125000
1755275,V I P FREIGHT INC,FL,MIAMI-DADE,High Risk,90,14,5,88000
3289977,PENGUINS TRANSPORT LLC,FL,ORANGE,Normal,90,3,4,70500
3323300,MLO TRANSPORTATION SERVICES LLC,FL,MIAMI-DADE,High Risk,90,2,4,73000
3455460,JML LOGISTICS SERVICES INC,FL,MIAMI-DADE,High Risk,90,1,1,22000
3499057,BNJ AUTO TRANSPORTING LLC,FL,HILLSBOROUGH,Normal,90,1,1,19500
250593,SEABOARD MARINE LTD INC,FL,MIAMI-DADE,High Risk,89,37,188,2823000
250593,SEABOARD MARINE LTD INC,FL,MIAMI-DADE,High Risk,89,37,188,2823000
2196296,LONGBOW TRANSPORTATION & LOGISTICS LLC,FL,SAINT JOHNS,Normal,89,10,40,600500
803843,MOORE FREIGHT LINES INC,FL,PASCO,Normal,89,23,14,210500
1615522,FLORIDA HOTSHOT EXPRESS LLC,FL,LEON,Normal,89,15,5,85500
3064575,GB GR TRANSPORT INC,FL,DUVAL,Normal,89,4,4,70500
3405129,EMPIRE FREIGHT SOLUTIONS LLC,NC,CABARRUS,Normal,89,2,4,70500
3248601,29 TRANSPORT INC,FL,OSCEOLA,Normal,89,3,3,53500
3418726,FLC EXPRESS TRUCKING LLC,FL,ORANGE,Normal,89,2,3,53500
3424882,R & A CARRIER LLC,FL,MIAMI-DADE,High Risk,89,2,1,22000
3284288,FORMULA MOTOR GROUP LLC,FL,ORANGE,Normal,88,3,3,53500
3453302,YP ROAD RUNNER TRANSPORT INC,FL,MIAMI-DADE,High Risk,88,1,1,22000
3366117,MDF TRANSPORT INC,FL,BROWARD,Normal,88,2,5,87500
3779993,HEAVY LOGISTICS 370 LLC,FL,MIAMI-DADE,High Risk,88,0,5,90000
3187935,PAO TRUCKING LLC,FL,HILLSBOROUGH,Normal,88,3,4,70500
3466480,RUBY LOGISTICS INC,FL,MIAMI-DADE,High Risk,88,1,3,56000
3475612,NYCE FLEET LINE LLC,FL,HILLSBOROUGH,Normal,88,1,3,53500
3596704,MURGA TRUCKING INC,FL,MIAMI-DADE,High Risk,88,1,3,56000
2435803,HPL TRANSPORT LLC,FL,MIAMI-DADE,High Risk,88,8,2,37000
3274367,S M BARON INC,FL,MIAMI-DADE,High Risk,88,3,2,39000
612130,JAMES T MCCRAY,FL,ALACHUA,Normal,88,26,1,17500
470597,SINGLETARY TRUCKING & HAULING CO INC,FL,LAFAYETTE,Normal,87,30,8,120500
2394599,MEMBRY AUTO TRANSPORT CORP,FL,MIAMI-DADE,High Risk,87,9,7,108000
3428650,CHRIS TRANSPORT LLC,FL,ORANGE,Normal,87,2,7,107500
2897895,CONTRERAS TRANSPORT INC,FL,MIAMI-DADE,High Risk,87,6,5,88000
2930840,AM & PM LOGISTICS CORP,FL,HILLSBOROUGH,Normal,87,5,5,87500
3044557,ISABELITA TRUCKING CORP,FL,MIAMI-DADE,High Risk,87,4,5,90000
3132426,XELA TRANSPORT CORP,FL,PALM BEACH,Normal,87,4,5,87500
3198639,BROTHERS EXPRESS TRUCKING LLC,FL,BROWARD,Normal,87,3,5,87500
3469382,DANDD SERVICES PLUS LLC,FL,MIAMI-DADE,High Risk,87,1,5,90000
379917,FLORIDA PINE STRAW SUPPLY COMPANY,FL,LAFAYETTE,Normal,87,32,4,68500
3649383,AMERICAN SUNSHINE CARGO CORP,FL,MIAMI-DADE,High Risk,87,1,3,56000
2833319,JESCAR TRANSPORT LLC,FL,OSCEOLA,Normal,87,6,2,34500
2955397,NAIVIX TRANSPORT INC,FL,MIAMI-DADE,High Risk,87,5,2,39000
3483027,YP AMERICAN TRANSPORT INC,FL,HILLSBOROUGH,Normal,87,1,2,36500
2293717,A P S PROFESSIONAL SERVICES INC,FL,MIAMI-DADE,High Risk,87,10,1,20000
2164657,AMERICA 1 LOGISTICS LLC,FL,SAINT JOHNS,Normal,86,11,57,855500
1755933,AGX FREIGHT CARRIERS LLC,IL,COOK,Normal,86,14,141,2115500
3032106,INFINITI LOGISTICS LLC,FL,MIAMI-DADE,High Risk,86,4,36,545000
3263743,THE WILTON BUSINESS GROUP INC,FL,DUVAL,Normal,86,3,30,452500
2630604,EXACTUS LOGISTIC INC,FL,OSCEOLA,Normal,86,7,14,210500
2403300,BORGES LOGISTICS INC,FL,MIAMI-DADE,High Risk,86,9,10,153000
3272221,JP'S PRIDE LOGISTICS,FL,BROWARD,Normal,86,3,10,152500
3274703,GALIANOS FREIGHT INC,FL,MIAMI-DADE,High Risk,86,3,10,155000
2014020,GGC TRANSPORT INC,FL,LEE,Normal,86,12,9,135500
3358643,BLUE FLEET LOGISTICS LLC,FL,ORANGE,Normal,86,2,9,137500
3378675,LOS ISABELITA TRUCKING CORP,FL,MIAMI-DADE,High Risk,86,2,6,95000
3651978,DOLPHIN EXPRESS LOGISTIC LLC,FL,LAKE,Normal,86,1,2,36500
3787913,CHITO TRUCKS INC,FL,MIAMI-DADE,High Risk,86,0,1,22000
502313,AQUA GULF XPRESS INC,FL,DUVAL,Normal,85,29,91,1365500
2210113,TONY'S AUTO TRANSPORT LLC,FL,SAINT JOHNS,Normal,85,10,8,120500
697429,TMS LOGISTICS INC,WI,SHEBOYGAN,Normal,85,24,142,2130500
1063886,ADVANCED POWER TECHNOLOGIES LLC,FL,BROWARD,Normal,85,19,66,990500
2429682,M J C EXPRESS INC,FL,BROWARD,Normal,85,8,17,255500
1734269,ROADSTAR TRANSPORT INC,FL,DUVAL,Normal,85,14,15,225500
2198494,G & I SOLUTIONS INC,FL,ORANGE,Normal,85,10,15,225500
1218554,E & G LOGISTICS SERVICES INC,FL,BROWARD,Normal,85,18,13,195500
1920875,RMJ EXPRESS INC,FL,HILLSBOROUGH,Normal,85,12,11,165500
3003618,ONE LINE CARRIER LLC,FL,MIAMI-DADE,High Risk,85,5,8,125000
2912735,C L SERVICES TRANSPORT LLC,FL,SAINT JOHNS,Normal,85,5,6,92500
1057970,OPTION TRANSPORT INC,FL,MIAMI-DADE,High Risk,85,19,5,88000
3621739,RANDOM SALES DIRECT LLC,FL,MARION,Normal,85,1,2,36500
3286231,SAMUEL TRANSPORTATION LLC,FL,BROWARD,Normal,85,3,1,19500
326786,MASNEY AUTO TRANSPORT INC,FL,ORANGE,Normal,84,33,60,900500
1849301,PBT OF VIRGINIA INC,VA,LOUDOUN,Normal,84,13,4,68500
725730,FORT MYERS TRUCKING INC,FL,LEE,Normal,84,24,33,495500
1485385,CRITICAL SUPPLY SOLUTIONS INC,OH,CUYAHOGA,Normal,84,16,33,495500
3663634,MADRIZ CORP,FL,MIAMI-DADE,High Risk,84,0,27,410000
2512576,SOLOMON AND SONS RELOCATION SERVICE INC,FL,BROWARD,Normal,84,8,16,240500
3206550,ROADSTAR TRUCK LINE LLC,TX,DALLAS,Normal,84,3,7,107500
3206550,ROADSTAR TRUCK LINE LLC,TX,DALLAS,Normal,84,3,7,107500
2034464,TEE LINE CORPORATION,FL,PALM BEACH,Normal,84,12,6,90500
3623763,HARRIS TRANSPORTATION LLC,FL,GADSDEN,Normal,84,1,6,92500
3434841,OTW LOGISTICS LLC,FL,ORANGE,Normal,84,2,5,87500
3140398,BRIT TRADING LLC,FL,MIAMI-DADE,High Risk,84,4,4,73000
2168126,FIRST LINE CARRIER INC,FL,BROWARD,Normal,84,10,3,51500
3393891,LERIMIC LOGISTICS LLC,FL,SANTA ROSA,Normal,84,2,2,36500
3422921,JDM NETWORK LLC,FL,ORANGE,Normal,84,2,1,19500
872248,CUSTOMIZED DISTRIBUTION LLC,FL,DUVAL,Normal,83,22,84,1260500
872248,CUSTOMIZED DISTRIBUTION LLC,FL,DUVAL,Normal,83,22,84,1260500
3169739,HERSOL LOGISTICS LLC,FL,MIAMI-DADE,High Risk,83,3,9,140000
3412885,OTR LOGISTICS TRANSPORT LLC,FL,HILLSBOROUGH,Normal,83,2,9,137500
2511095,PACIFIC FREIGHT INC,FL,DUVAL,Normal,83,8,8,120500
2376174,FASTER CARRIER CO,FL,MIAMI-DADE,High Risk,83,9,6,93000
2583382,FENIX EXPRESS INC,FL,POLK,Normal,83,7,5,85500
3462147,GUATY'S EXPRESS CORP,FL,MARION,Normal,83,1,5,87500
3403401,JCP EXPRESS LINE CORP,FL,MIAMI-DADE,High Risk,83,2,4,73000
3018011,JP FREIGHTS LLC,TX,DALLAS,Normal,83,5,3,53500
3536399,UNITED FREIGHT SERVICES LLC,FL,MARTIN,Normal,83,1,3,53500
3629955,J RUSSO TRANSPORT LLC,FL,MIAMI-DADE,High Risk,83,1,1,22000
3708204,AA XPRESS TRANSPORT LLC,FL,MIAMI-DADE,High Risk,83,0,1,22000
1780612,PROGRESSIVE TRANSPORTATION LLC,FL,DUVAL,Normal,82,14,90,1350500
1780612,PROGRESSIVE TRANSPORTATION LLC,FL,DUVAL,Normal,82,14,90,1350500
3719626,IRON EAGLE TRANSPORT,FL,ORANGE,Normal,82,0,1,19500
3618053,JCL DEED FAITH TRANSPORTATION LLC,FL,LEE,Normal,82,1,12,182500
3034432,HARVEST INVESTMENT CAPITAL,FL,PALM BEACH,Normal,82,4,5,87500
3462141,MHM TRANSPORT SERVICES INC,FL,MIAMI-DADE,High Risk,82,1,2,39000
3406529,VJTORRES AUTO TRANSPORT LLC,FL,MIAMI-DADE,High Risk,81,2,2,39000
3511813,FLORIDA DELIVERY SERVICES AND TRANSPORT LLC,FL,MARION,Normal,81,1,1,19500
3711503,AA EXPRESS TRANSPORT SERVICES LLC,FL,MIAMI-DADE,High Risk,81,0,1,22000
1473594,R C O TRUCKING INC,FL,MARION,Normal,81,16,13,195500
3332080,NESTI TRUCKING INC,FL,MIAMI-DADE,High Risk,81,2,3,56000
3682384,JX TRANSPORT USA LLC,FL,SAINT LUCIE,Normal,81,0,3,53500
2109463,OMEGA EXPRESS LLC,OR,MULTNOMAH,Normal,81,11,2,34500
3147971,PARKLAND TRUCKING CORP,FL,MIAMI-DADE,High Risk,81,4,2,39000
3660805,FAST PACE LLC,FL,BROWARD,Normal,81,1,2,36500
1078471,DEE'S TRANSPORT INC,FL,SAINT LUCIE,Normal,81,19,1,17500
2176672,SAINT TRANSPORTATION INC,FL,LAKE,Normal,81,10,1,17500
3266961,VJY LOGISTICS INC,FL,MIAMI-DADE,High Risk,81,3,1,22000
3287540,BONUS TRANSPORTATION LLC,TX,TARRANT,Normal,81,3,1,19500
3287540,BONUS TRANSPORTATION LLC,TX,TARRANT,Normal,81,3,1,19500
3394373,TTG TRANSPORT SERVICE LLC,FL,POLK,Normal,81,2,1,19500
3434967,TAG TRUCKLINES INC,FL,DUVAL,Normal,81,2,1,19500
3465672,H3E LLC,FL,DUVAL,Normal,81,1,1,19500
3467908,SHADE TRUCKING COMPANY LLC,FL,ORANGE,Normal,81,1,1,19500
3468507,HERRERA Y TRANPORT LLC,FL,MIAMI-DADE,High Risk,81,1,1,22000
3478366,ALEX B TRUCK CORP,FL,MANATEE,Normal,81,1,1,19500
3541539,MURO TRUCKS LLC,FL,ORANGE,Normal,81,1,1,19500
3664609,R GUTIERREZ TRUCKING LLC,FL,HILLSBOROUGH,Normal,81,0,1,19500
3673697,YCS INTERNATIONAL LLC,FL,,Normal,81,0,1,19500
3450454,HAULERS WITH TWIC LLC,FL,OSCEOLA,Normal,80,1,1,19500
3409874,FREIGHT MAX CORP,FL,HILLSBOROUGH,Normal,80,2,5,87500
3686464,FABULOUS LOGISTICS LLC,NC,DURHAM,Normal,80,0,4,70500
2057779,HIALEAH VENDING CORP,FL,MIAMI-DADE,High Risk,80,11,3,54000
2794495,GLOBAL XPRESS LOGISTICS LLC,FL,BROWARD,Normal,80,6,3,51500
3236273,VINNY TRANSPORT LLC,CT,NEW HAVEN,Normal,80,3,3,53500
3296422,DULCE CORE LANDSCAPING CORP,FL,HILLSBOROUGH,Normal,80,3,3,53500
3016618,ANUNCIATA TRUCKING LLC,FL,ORANGE,Normal,80,5,2,36500
3443632,N CARGO XPRESS CORP,FL,MIAMI-DADE,High Risk,80,1,2,39000
3481837,LUSS LANE CORP,VA,HANOVER,Normal,80,1,2,36500
3546288,T JONES TRUCKING LLC,FL,ORANGE,Normal,80,1,2,36500
3577368,DEPENDABLE FAMILY TRUCKING LLC,FL,OSCEOLA,Normal,80,1,2,36500
2961479,R GALVEZ TRUCKING LLC,FL,COLLIER,Normal,80,5,1,19500
3333589,G RICHARDS TRUCKING LLC,FL,OSCEOLA,Normal,80,2,1,19500
3439515,HG TRANSPORTS HOTSHOT LLC,FL,MIAMI-DADE,High Risk,80,2,1,22000
3565650,QUALIFIED EXPEDITORS LLC,FL,BROWARD,Normal,80,1,1,19500
3613503,REAL ROAD RUNNERZ LLC,FL,PALM BEACH,Normal,80,1,1,19500
